,Start,End
0,2017-11-14 21:14:13.739957,2017-11-14 21:14:14.473500
1,2017-11-14 21:14:15.074635,2017-11-14 21:14:15.648227
2,2017-11-14 21:14:15.673243,2017-11-14 21:14:16.313091
3,2017-11-14 21:14:17.117114,2017-11-14 21:14:18.691118
4,2017-11-14 21:14:19.705980,2017-11-14 21:14:20.960601
5,2017-11-14 21:14:20.992624,2017-11-14 21:14:21.425184
6,2017-11-14 21:14:21.450110,2017-11-14 21:14:21.953965
7,2017-11-14 21:14:22.452080,2017-11-14 21:14:22.524122
8,2017-11-14 21:14:23.418102,2017-11-14 21:14:23.667133
9,2017-11-14 21:14:23.980497,2017-11-14 21:14:25.002161
